id,state,category,question,optionA,optionB,optionC,optionD,correctIndex,correctAnswer
AR-034,AR,stateUnique,"What must now be included in Arkansas's written driver's license test as of 2025?","Motorcycle safety procedures","Highway work zone safe operation","Electric vehicle operation skills","Advanced parking lot techniques",1,B
AR-035,AR,stateUnique,"What type of work zones now have doubled fines in Arkansas as of 2025?","Static work zones only","Highway construction zones only","Mobile and static work zones","School zones near highways only",2,C
AR-036,AR,stateUnique,"When are hazard lights permitted while driving in Arkansas?","During heavy rain conditions","In slow-moving traffic jams","When moving below posted limit","Only to indicate traffic hazard",3,D
AR-037,AR,stateUnique,"What is the classification of Arkansas's headlight-wiper law?","Secondary law needing other violation","Primary offense for traffic stops","Advisory guidance only for drivers","Felony violation with jail time",0,A
AR-038,AR,stateUnique,"What signals that drivers are entering a mobile work zone in Arkansas?","Road cones placed on pavement","Signs on work trucks with lights","Overhead electronic sign boards","Flag persons directing traffic",1,B
AR-039,AR,stateUnique,"How did Arkansas test green lights on work vehicles before authorizing them statewide?","Computer simulations","Nighttime trials only","Through a pilot program","Survey of other states",2,C
AR-040,AR,stateUnique,"Why did Arkansas add green lights to construction vehicles?","To match federal safety standards","For aesthetic purposes and branding","Lower energy consumption and costs","Better visibility in weather conditions",3,D
AZ-001,AZ,gdlLicensing,"What is the minimum age to obtain a Class G graduated driver license in Arizona?","16 years old","15 years old","17 years old","18 years old",0,A
AZ-002,AZ,gdlLicensing,"How long must a teen hold an instruction permit before applying for a Class G license?","Three months minimum","Six months or age 18","One full year","Nine months minimum",1,B
AZ-003,AZ,gdlLicensing,"During the first six months of a Class G license, how many passengers under 18 may a teen driver transport?","Two passengers maximum","Three passengers maximum","One passenger (siblings exempt)","No passengers under any circumstances",2,C
AZ-004,AZ,gdlLicensing,"What are the curfew hours for Class G license holders during their first six months?","11 PM to 6 AM","1 AM to 5 AM","10 PM to 5 AM","Midnight to 5 AM",3,D
AZ-005,AZ,gdlLicensing,"Which situation allows a Class G license holder to drive during curfew hours?","Driving to or from work or school","Driving to a friend's house","Driving for recreational activities","Any driving with another teen present",0,A
AZ-006,AZ,gdlLicensing,"How many hours of supervised driving practice must teens complete before getting a Class G license?","20 hours total practice","30 hours (10 at night)","40 hours total practice","25 hours (5 at night)",1,B
AZ-007,AZ,gdlLicensing,"When do Class G license restrictions expire for teen drivers?","After one full year","After three months","Six months or age 18","After nine full months",2,C
AZ-008,AZ,gdlLicensing,"A Class G driver can transport multiple passengers under 18 if which condition is met?","The driver has had their license for 3 months","All passengers wear seatbelts","It's during daytime hours only","A parent is in the front passenger seat",3,D
AZ-009,AZ,gdlLicensing,"What happens after a third violation of Class G license restrictions?","License suspended for 30 days","License suspended for 60 days","Restrictions extended for 90 days","License revoked permanently",0,A
AZ-010,AZ,gdlLicensing,"At what age does a Class G license automatically become a Class D license?","17 years old","18 years old","19 years old","21 years old",1,B
AZ-011,AZ,gdlLicensing,"Who must provide written certification of a teen's supervised driving hours?","A driving instructor only","Any licensed adult driver","Parent or guardian","The DMV examiner only",2,C
AZ-012,AZ,gdlLicensing,"What is the primary purpose of Arizona's graduated driver licensing program?","To reduce insurance costs","To delay full driving privileges","To increase state revenue","To build experience gradually",3,D
AZ-013,AZ,cellPhone,"When did Arizona's hands-free driving law begin enforcement with citations?","January 1, 2021","April 22, 2019","July 1, 2020","January 1, 2022",0,A
AZ-014,AZ,cellPhone,"Under Arizona's hands-free law, when is it legal to hold a phone while driving?","Only during emergencies","When stopped at red light","Never under any circumstances","When using GPS navigation only",1,B
AZ-015,AZ,cellPhone,"What type of device use is permitted under Arizona's hands-free law?","Holding phone on speaker","Texting at stop signs only","Voice-activated systems","Reading texts while stopped",2,C
AZ-016,AZ,cellPhone,"Arizona's hands-free law prohibits which action while the vehicle is in motion?","Using voice commands only","Listening to music only","Using mounted GPS devices","Holding/supporting phone",3,D
AZ-017,AZ,cellPhone,"What makes texting while driving a primary offense in Arizona?","Officers can stop for it alone","It requires a second violation","It only applies to teen drivers","It requires witness testimony",0,A
AZ-018,AZ,cellPhone,"Which drivers are exempt from Arizona's hands-free law?","Drivers over age 65 only","Emergency responders","Commercial truck drivers","Rideshare drivers only",1,B
AZ-019,AZ,duiStateLaws,"What is the BAC limit for drivers under 21 in Arizona?","0.04% BAC maximum","0.08% BAC maximum","0.00% zero tolerance","0.02% BAC maximum",2,C
AZ-020,AZ,duiStateLaws,"At what BAC level is a driver charged with Super Extreme DUI in Arizona?","0.15% or higher","0.18% or higher","0.12% or higher","0.20% or higher",3,D
AZ-021,AZ,duiStateLaws,"What is required for all DUI convictions in Arizona, including first offenses?","Ignition interlock device required","License revocation for life","Community service requirement only","Alcohol education classes only",0,A
AZ-022,AZ,duiStateLaws,"What is the BAC limit for rideshare drivers in Arizona as of 2025?","0.08%","0.04%","0.02%","0.00%",1,B
AZ-023,AZ,duiStateLaws,"What BAC level constitutes an Extreme DUI in Arizona?","0.10% to 0.14%","0.08% to 0.12%","0.15% to 0.199%","0.12% to 0.18%",2,C
AZ-024,AZ,duiStateLaws,"Under Arizona's implied consent law, what happens if you refuse a breath test?","No penalty if it's your first refusal","Six-month license suspension only","Warning only first time","Automatic 12-month suspension",3,D
AZ-025,AZ,duiStateLaws,"What is the standard BAC limit for most adult drivers in Arizona?","0.08%","0.10%","0.05%","0.06%",0,A
AZ-026,AZ,duiStateLaws,"How long does a DUI conviction remain on your driving record in Arizona?","7 years total","Permanently","10 years total","5 years total",1,B
AZ-027,AZ,insurance,"What type of insurance system does Arizona use for auto accidents?","No-fault system","Shared responsibility","At-fault system","Strict liability",2,C
AZ-028,AZ,insurance,"What does Arizona's pure comparative fault rule allow?","Only one driver pays all damages","Insurance companies decide fault","No claims if you share any fault","Fault to be divided by%ages",3,D
AZ-029,AZ,insurance,"What must drivers provide before registering a vehicle in Arizona?","Proof of insurance with ADOT code","Vehicle inspection certificate","Emissions test results only","Title and registration only",0,A
AZ-030,AZ,insurance,"What does liability insurance primarily cover in Arizona?","Your own vehicle repairs","Injuries/damage to others","Your medical bills only","Theft and vandalism damage",1,B
AZ-031,AZ,stateUnique,"What does Arizona's ""Pull Aside, Stay Alive"" campaign address?","Tire blowouts on hot pavement","Flash floods during monsoons","Safety during dust storms","Emergency vehicle right-of-way",2,C
AZ-032,AZ,stateUnique,"After pulling off the road during a dust storm, what should you do with your vehicle lights?","Turn on hazard flashers only","Keep headlights on low beam","Turn on high beams only","Turn off all lights completely",3,D
AZ-033,AZ,stateUnique,"Why should you turn off all lights when stopped during a dust storm?","Others may follow and crash","To save battery power only","To avoid attracting wildlife","It's required by state law",0,A
AZ-034,AZ,stateUnique,"When does Arizona's monsoon season typically occur?","March through May","June through September","October through December","January through March",1,B
AZ-035,AZ,stateUnique,"What is the primary cause of tire blowouts in Arizona's extreme heat?","Road construction debris only","Excessive speed limits only","Underinflated tires on heat","Overuse of air conditioning",2,C
AZ-036,AZ,stateUnique,"What temperature can Arizona pavement reach during summer months?","120°F maximum","130°F maximum","140°F maximum","Over 150°F",3,D
AZ-037,AZ,stateUnique,"What should you do when encountering a dust storm on the highway?","Exit highway as soon as safe","Speed up to get through quickly","Turn on high beams and proceed slowly","Stop in the emergency lane only",0,A
AZ-038,AZ,stateUnique,"What does Arizona's ""Stupid Motorist Law"" address?","Speeding in school zones","Entering flooded roadways","Texting while driving","Running red lights only",1,B
AZ-039,AZ,stateUnique,"What should drivers carry in their vehicle during Arizona's extreme heat?","Fire extinguisher only","Snow chains for winter","Water and cell phone","Emergency flares only",2,C
AZ-040,AZ,stateUnique,"Where is pulled off completely during a dust storm, where should you position your foot?","On the brake pedal only","On the accelerator only","Hovering over the brake","Off the brake entirely",3,D
CA-001,CA,gdlLicensing,"What is the minimum age to obtain a learner's permit in California?","15½ years old","16 years old","14 years old","17 years old",0,A
CA-002,CA,gdlLicensing,"Who must accompany a permit holder while driving in California?","Any adult over age 18","Licensed driver 25+ years","A parent or guardian only","Any licensed adult driver",1,B
CA-003,CA,gdlLicensing,"During what hours is a provisional license holder prohibited from driving alone in California?","Midnight to 4 AM","10 PM to 6 AM","11 PM to 5 AM","9 PM to 5 AM",2,C
CA-004,CA,gdlLicensing,"How many hours of supervised practice driving are required in California before taking the driving test?","40 hours practice total","30 hours practice total","60 hours practice total","50 hrs (10 at night)",3,D
CA-005,CA,gdlLicensing,"What must California teens complete before applying for a learner's permit?","A 30-hour driver education course","A 40-hour driver education course","A 20-hour driver education course","A 50-hour driver education course",0,A
CA-006,CA,gdlLicensing,"For how long after receiving a provisional license cannot a teen transport passengers under 20 years old alone?","6 months","12 months","18 months","24 months",1,B
CA-007,CA,gdlLicensing,"How many phases are in California's Graduated Driver License program?","Two phases","Four phases","Three phases","Five phases",2,C
CA-008,CA,gdlLicensing,"What is the minimum period a California learner's permit must be held before applying for a provisional license?","3 months","4 months","12 months","6 months",3,D
CA-009,CA,gdlLicensing,"What happens if a California teen violates GDL restrictions?","License delayed up to 1 year","Receives warning citation only","Must retake driver education","Pays monetary fine only",0,A
CA-010,CA,gdlLicensing,"Can a California provisional license holder use a cell phone hands-free while driving?","Yes, if mounted properly","No, not even hands-free","Yes, but only for GPS","Yes, but only for emergencies",1,B
CA-011,CA,gdlLicensing,"What is the minimum age requirement for the licensed driver who supervises a permit holder in California?","18 years old","21 years old","25 years old","23 years old",2,C
CA-012,CA,gdlLicensing,"What does California's zero-tolerance law mean for provisional license holders?","No speeding violations allowed","No cell phone use allowed","No traffic violations allowed","No alcohol consumption allowed",3,D
CA-013,CA,cellPhone,"What is the primary rule of California's hands-free cell phone law?","You cannot hold your phone while driving","You can hold your phone at red lights","You can hold your phone for navigation","You can hold your phone if not talking",0,A
CA-014,CA,cellPhone,"How can California drivers legally use their phone for navigation while driving?","Holding it carefully","Mounted with voice control","Placed on your lap","With passenger present only",1,B
CA-015,CA,cellPhone,"What is the cell phone restriction for California drivers under 18?","Can use hands-free only","Can use GPS only","No device use while driving","Can use with parental permission",2,C
CA-016,CA,cellPhone,"How many taps or swipes are allowed on a mounted phone while driving in California?","Two taps or swipes","Three taps or swipes","No touching allowed","One tap or swipe",3,D
CA-017,CA,cellPhone,"Is looking at your phone's screen while holding it illegal in California, even without touching it?","Yes, holding is prohibited","No, as long as you don't touch it","Illegal while moving only","Legal at red traffic lights",0,A
CA-018,CA,cellPhone,"When is it legal to use a handheld phone while driving in California?","At red traffic lights","Emergency 911 calls only","In parking lot areas","When traffic is fully stopped",1,B
CA-019,CA,duiStateLaws,"What is the legal BAC limit for drivers 21 and older in California?","0.10%","0.05%","0.08%","0.06%",2,C
