Type,State,QuestionID,Category,Question,OptionA,OptionB,OptionC,OptionD,CorrectAnswer,CorrectIndex,Explanation
Universal,ALL,U1-011,general,A sign with a red circle and diagonal slash means:,Caution is required in this area,Stop ahead at the intersection,The action pictured is prohibited,Reduced speed zone ahead,C,2,"A red circle with a diagonal slash indicates that whatever action is pictured is prohibited, such as no U-turns or no left turns."
Universal,ALL,U1-012,general,What does a yield sign require you to do?,Come to a complete stop always,Proceed without slowing down,Speed up to merge quickly,Slow down and give way to traffic,D,3,"A yield sign requires you to slow down and be prepared to stop if necessary, giving right-of-way to traffic already in the intersection."
Universal,ALL,U1-013,general,A steady red traffic light means:,Stop and remain stopped until light changes,"Stop, then proceed when safe",Slow down and proceed with caution,Yield to cross traffic only,A,0,"A steady red light means you must stop and remain stopped until the light turns green, unless making a permitted turn on red."
Universal,ALL,U1-014,general,A steady yellow traffic light means:,Speed up to clear the intersection,The light will turn red; stop if safe to do so,Proceed with caution through intersection,Yield to pedestrians only,B,1,"A steady yellow light warns that the signal will turn red. Stop if you can do so safely; if not, proceed with caution."
Universal,ALL,U1-015,general,A flashing yellow light means:,"Stop completely, then proceed",Come to a rolling stop,Proceed with caution,Prepare to stop; light turning red,C,2,A flashing yellow light means proceed with caution. You don't need to stop but should slow down and watch for hazards.
Universal,ALL,U1-016,general,A flashing red light requires you to:,Slow down and proceed carefully,Yield to traffic on your right,Continue without stopping if clear,"Stop completely, then proceed when safe",D,3,"A flashing red light must be treated the same as a stop sign. Stop completely, yield to traffic and pedestrians, then proceed."
Universal,ALL,U1-017,general,A green arrow signal allows you to:,Turn in that direction with the right-of-way,Turn only after yielding to all traffic,Go straight through the intersection,Turn if no pedestrians are present,A,0,A green arrow gives you the right-of-way to turn in the indicated direction. Oncoming traffic should have a red light.
Universal,ALL,U1-018,general,A flashing yellow arrow means:,"Stop, then turn with caution",Turn after yielding to oncoming traffic and pedestrians,Protected left turn; proceed immediately,Left turn is prohibited,B,1,A flashing yellow arrow means you may turn after yielding to oncoming traffic and pedestrians. You don't have a protected turn.
Universal,ALL,U1-019,general,What does a solid white line between lanes indicate?,Passing is encouraged here,Lane changing is permitted freely,Lane changes are discouraged but not prohibited,You must exit at the next ramp,C,2,A solid white line between lanes traveling the same direction discourages lane changes but doesn't prohibit them entirely.
Universal,ALL,U1-020,general,A broken white line between lanes means:,Passing is prohibited in this area,Stay in your current lane,Emergency vehicles only,Lane changing is permitted when safe,D,3,A broken white line separates lanes traveling in the same direction and indicates that lane changes are permitted when safe.
Universal,ALL,U1-021,general,A solid yellow line on your side of the center means:,Passing is prohibited from your direction,You may pass if the way is clear,Passing is permitted with caution,Two-way traffic ends ahead,A,0,A solid yellow line on your side means you cannot pass. The line on the other side determines if oncoming traffic may pass.
Universal,ALL,U1-022,general,Double solid yellow lines in the center indicate:,Passing allowed in one direction only,Passing prohibited in both directions,Passing permitted during daylight,High-occupancy vehicle lane,B,1,Double solid yellow lines mean passing is prohibited in both directions. Neither lane may cross to pass other vehicles.
Universal,ALL,U1-023,general,A white line on the right edge of the road marks:,A bicycle lane boundary,Parking is permitted here,The edge of the travel lane,A pedestrian walkway,C,2,"A solid white line on the right edge marks the boundary between the travel lane and the shoulder, helping drivers stay on the roadway."
Universal,ALL,U1-024,general,What do white arrows painted on the pavement indicate?,Suggested routes for navigation,Pedestrian crossing locations,Parking space boundaries,Mandatory lane use directions,D,3,White arrows on the pavement indicate mandatory directions for that lane. You must follow the direction indicated by the arrow.
Universal,ALL,U1-025,general,A sign showing two arrows curving in opposite directions warns of:,A winding road ahead,Two-way traffic ahead,Divided highway ends,Merge area ahead,A,0,A sign with arrows curving in opposite directions warns of a winding road with multiple curves ahead. Reduce speed.
Universal,ALL,U1-026,general,What does a 'WRONG WAY' sign indicate?,Road is closed for construction,You've entered a road against traffic flow,One-way street ends ahead,Trucks prohibited on this road,B,1,"A WRONG WAY sign indicates you're traveling against traffic, usually at a highway exit ramp. Turn around immediately."
Universal,ALL,U1-027,general,A sign with vertical arrows pointing up and down warns of:,Hill with steep grade ahead,Lane ends; merge required,Two-way traffic ahead,Divided highway begins,C,2,"Arrows pointing up and down indicate two-way traffic ahead, often seen when leaving a divided highway or one-way street."
Universal,ALL,U1-028,general,What does a 'MERGE' sign tell you?,You have the right-of-way over merging traffic,All lanes are ending ahead,Construction detour begins,Traffic from another road is joining yours,D,3,A merge sign warns that traffic from another road will be joining your roadway. Adjust speed and position to allow safe merging.
Universal,ALL,U1-029,general,A sign showing a truck on a steep downgrade warns:,Steep downhill grade ahead,Truck parking area ahead,Trucks must use right lane,No trucks permitted on road,A,0,This sign warns of a steep downhill grade ahead. Use lower gears to control speed and reduce brake wear.
Universal,ALL,U1-030,general,What does a sign with a car skidding indicate?,Speed limit reduction ahead,Slippery conditions when wet,Sharp curve requires braking,Rough pavement ahead,B,1,A slippery road sign warns that the road may be slippery when wet. Reduce speed and avoid sudden movements.
Universal,ALL,U1-031,general,A crossbuck sign (white X-shaped) at railroad tracks means:,Railroad crossing is closed today,Yield to any approaching trains,Trains have right-of-way; be prepared to stop,Sound horn before crossing,C,2,The crossbuck is a yield sign at railroad crossings. Trains always have the right-of-way; look both ways and be prepared to stop.
Universal,ALL,U1-032,general,What do double white lines between lanes indicate?,Lane changes are permitted with caution,HOV lane during rush hours,Emergency vehicle access only,Lane changes are prohibited,D,3,Double white lines indicate lane changes are prohibited. This is often seen near toll plazas and in certain highway configurations.
Universal,ALL,U1-033,general,A 'DO NOT ENTER' sign indicates:,Wrong way; do not proceed in this direction,Road is closed for construction,Private road; residents only,Lane closed; merge left,A,0,"DO NOT ENTER signs warn that you must not proceed in that direction, often seen at exit ramps and one-way streets."
Universal,ALL,U1-034,general,Shared center turn lanes are marked by:,Solid white lines on both sides,Solid yellow outside lines with broken inside lines,Broken white lines on both sides,Green pavement markings,B,1,Shared center turn lanes have solid yellow lines on the outside and broken yellow lines on the inside. Use only for left turns.
Universal,ALL,U1-035,general,A sign showing a person walking indicates:,Hiking trail access ahead,No pedestrians allowed,Pedestrian crossing ahead,Walking path ends,C,2,A pedestrian crossing sign warns drivers of a designated crossing area ahead. Be prepared to yield to pedestrians.
Universal,ALL,U1-036,general,What does a divided highway sign mean?,Highway splits; choose your route,Road narrows to one lane,Freeway entrance ahead,Two separate roadways with median ahead,D,3,A divided highway sign indicates the road ahead will have two separate roadways divided by a median or barrier.
Universal,ALL,U1-037,general,A 'DIVIDED HIGHWAY ENDS' sign warns that:,Two-way traffic on undivided road ahead,Lanes will merge to one direction,Freeway is ending soon,Road construction eliminated median,A,0,This sign warns that the divided highway is ending and you'll encounter two-way traffic on an undivided road ahead.
Universal,ALL,U1-038,general,A sign showing a cross intersection warns of:,Church or religious site ahead,Four-way intersection ahead,Hospital ahead on the right,Crosswalk ahead; yield to pedestrians,B,1,A cross-shaped intersection sign warns of a four-way intersection ahead. Be prepared for vehicles from all directions.
Universal,ALL,U1-039,general,Yellow and black stripes on a barrier indicate:,Construction zone entrance,Railroad crossing ahead,End of the road or obstruction,Speed bump ahead,C,2,Yellow and black diagonal stripes mark barriers at the end of roads or around fixed obstructions. Do not proceed.
Universal,ALL,U1-040,general,A sign showing a T-intersection warns:,Toll booth ahead,Truck stop ahead,Traffic light ahead,Road ends; must turn left or right,D,3,A T-intersection sign warns that the road you're on ends ahead and you must turn either left or right.
Universal,ALL,U1-041,general,What does a 'LANE ENDS' sign indicate?,Your lane will merge with adjacent traffic,Exit ramp is approaching,Road construction ahead,Shoulder driving is permitted,A,0,A lane ends sign warns that your lane will end and you must merge with traffic in an adjacent lane.
Universal,ALL,U1-042,general,A speed limit sign with 'MINIMUM' written below means:,Suggested safe speed in good conditions,Slowest legal speed for that roadway,Maximum speed during night hours,Speed for trucks and buses only,B,1,A minimum speed limit indicates the slowest legal speed on that road. Driving below it can impede traffic and is illegal.
Universal,ALL,U1-043,general,Advisory speed signs (yellow) indicate:,Mandatory maximum speed limit,Speed limit during construction only,Recommended safe speed for conditions,Minimum speed requirement,C,2,"Yellow advisory speed signs show the recommended safe speed for curves, exits, or other road features, not mandatory limits."
Universal,ALL,U1-044,general,A sign with a bicycle symbol indicates:,Bicycle parking ahead,Bicycles prohibited,Mountain biking trail,Bicycle crossing or bike route,D,3,"Signs with bicycle symbols warn of bicycle crossings, bike lanes, or designated bike routes. Watch for cyclists."
Universal,ALL,U1-045,general,What do chevron signs (arrows pointing one direction) indicate?,Direction of a sharp curve in the road,One-way street designation,Highway exit direction,Recommended route for trucks,A,0,Chevron signs with arrows are placed on the outside of sharp curves to show the direction of the curve. Slow down.
Universal,ALL,U1-046,general,A 'NO TURN ON RED' sign means:,Right turns prohibited at all times,Cannot turn right on red at this intersection,Left turns prohibited here,U-turns not permitted,B,1,NO TURN ON RED prohibits making a right turn while the light is red at that specific intersection.
Universal,ALL,U1-047,general,Rumble strips on the roadway are designed to:,Provide drainage during rain,Slow down speeding vehicles,Alert drowsy or distracted drivers,Guide snowplows in winter,C,2,"Rumble strips create noise and vibration when driven over, alerting drowsy or distracted drivers they're leaving their lane."
Universal,ALL,U1-048,general,A sign showing a deer indicates:,Wildlife observation area ahead,Hunting permitted in this zone,Park entrance ahead,Deer crossing area; watch for animals,D,3,"Deer crossing signs warn of areas where deer frequently cross the road. Be alert, especially at dawn and dusk."
Universal,ALL,U1-049,general,What does a slow-moving vehicle emblem look like?,An orange triangle with red border,A red octagon reflector,A yellow diamond shape,A flashing amber light,A,0,"Slow-moving vehicles display an orange-red triangular emblem with a reflective center, indicating they travel 25 mph or less."
Universal,ALL,U1-050,general,A 'YIELD AHEAD' sign warns that:,Traffic light is approaching,Yield sign is ahead; prepare to slow,You must yield at the next intersection,Pedestrian crossing is ahead,B,1,"YIELD AHEAD warns that a yield sign is coming up, giving you time to prepare to slow down and yield if necessary."
Universal,ALL,U2-001,general,"At an uncontrolled intersection, who has the right-of-way?",The vehicle approaching from the left,The larger vehicle,The vehicle that arrives first,The vehicle traveling on the wider road,C,2,"At uncontrolled intersections, the first vehicle to arrive has the right-of-way. If vehicles arrive simultaneously, yield to the vehicle on your right."
Universal,ALL,U2-002,general,When two vehicles arrive at a four-way stop at the same time:,The vehicle on the left goes first,The vehicle on the right has right-of-way,The larger vehicle proceeds first,Either vehicle may proceed,B,1,"When vehicles arrive at a four-way stop simultaneously, the driver on the left must yield to the driver on the right."
Universal,ALL,U2-003,general,When turning left at an intersection with a green light (no arrow):,You have the right-of-way over all traffic,Pedestrians must wait for you,You must yield to oncoming traffic and pedestrians,Oncoming traffic must yield to you,C,2,"When turning left on a green light without an arrow, you must yield to oncoming traffic and pedestrians in the crosswalk."
Universal,ALL,U2-004,general,Pedestrians crossing at a marked crosswalk have:,Right-of-way only when signal permits,No right-of-way if jaywalking,Right-of-way at all times,Right-of-way; drivers must yield,D,3,Pedestrians in marked crosswalks have the right-of-way. Drivers must stop and yield until the pedestrian has crossed.
Universal,ALL,U2-005,general,"When entering a highway from an entrance ramp, you must:",Yield to traffic already on the highway,Expect highway traffic to move over for you,Stop at the end of the ramp,Always enter at the posted speed limit,A,0,Vehicles entering from ramps must yield to traffic already on the highway. Use the acceleration lane to match highway speed.
Universal,ALL,U2-006,general,Emergency vehicles with flashing lights and sirens:,Should be followed closely to clear traffic,Have the right-of-way; pull over and stop,Have right-of-way only on highways,Must yield to regular traffic at intersections,B,1,Emergency vehicles with lights and sirens have absolute right-of-way. Pull to the right and stop until they pass.
Universal,ALL,U2-007,general,A school bus has stopped with flashing red lights on an undivided road. You must:,Slow to 15 mph and pass carefully,Stop only if children are visible,Stop regardless of your direction of travel,Yield but continue if safe,C,2,"On undivided roads, all traffic in both directions must stop for school buses with flashing red lights until the lights stop flashing."
Universal,ALL,U2-008,general,"When entering a roundabout, you should:",Stop and wait for a signal,Speed up to merge with traffic,Signal right to enter,Yield to vehicles already in the circle,D,3,"When entering a roundabout, always yield to traffic already circulating. Enter only when there's a safe gap."
Universal,ALL,U2-009,general,At a T-intersection with no signs or signals:,Vehicles on the through road have right-of-way,The vehicle arriving first goes first,The larger vehicle has priority,Traffic from the right always yields,A,0,"At T-intersections, vehicles on the through road (top of the T) have right-of-way over vehicles on the terminating road."
Universal,ALL,U2-010,general,"When a traffic signal is not working (dark), treat it as:",A yield sign for all directions,A green light if your road is larger,A four-way stop; stop and yield,A flashing yellow in all directions,C,2,A non-functioning traffic signal should be treated as a four-way stop. All vehicles must stop and yield appropriately.
Universal,ALL,U2-011,general,What is the recommended following distance in ideal conditions?,One car length per 10 mph,Two seconds behind the vehicle ahead,At least three seconds behind the vehicle ahead,As close as comfortable,C,2,The three-second rule provides adequate following distance in ideal conditions. Increase this in poor conditions.
Universal,ALL,U2-012,general,When should you increase your following distance beyond 3 seconds?,Only when traveling over 60 mph,"In bad weather, heavy traffic, or behind large vehicles",Only at night or in fog,When the road has curves,B,1,"Increase following distance in bad weather, heavy traffic, when following large vehicles, or in any condition that requires more stopping time."
Universal,ALL,U2-013,general,The most effective way to prevent accidents is to:,Drive faster than surrounding traffic,Stay in the right lane at all times,Always scan the road and anticipate hazards,Follow closely to see traffic ahead,C,2,"Defensive driving requires constantly scanning ahead and around your vehicle, anticipating potential hazards before they become emergencies."
Universal,ALL,U2-014,general,How far ahead should you scan while driving on a highway?,Just past the car ahead,10-15 seconds ahead (about 1/4 mile),5 seconds at most,Only to the next intersection,B,1,"On highways, look 10-15 seconds ahead (about a quarter mile) to identify hazards early and have time to react safely."
Universal,ALL,U2-015,general,How often should you check your mirrors while driving?,Once per minute,Only before changing lanes,Every 5-8 seconds,When you hear a horn,C,2,Check mirrors every 5-8 seconds to maintain awareness of traffic around you. Regular checks help identify hazards early.
Universal,ALL,U2-016,general,Blind spots are areas:,Where your headlights don't reach,Not visible in mirrors; require turning your head,Behind your vehicle only,Blocked by sun glare,B,1,Blind spots are areas around your vehicle not visible in mirrors. Always turn your head to check blind spots before changing lanes.
Universal,ALL,U2-017,general,"Before changing lanes, you should:","Signal, check mirrors and blind spots, then change",Change lanes quickly when you see an opening,Only check the rearview mirror,Signal while making the lane change,A,0,"Safe lane changes require signaling first, checking all mirrors, checking your blind spot, then smoothly changing lanes."
Universal,ALL,U2-018,general,"When being tailgated, you should:",Speed up to increase distance,Brake suddenly to warn them,Increase distance ahead so you brake gradually,Pull over immediately and stop,C,2,"When tailgated, increase following distance ahead so you can brake gradually if needed, reducing the chance of being rear-ended."
Universal,ALL,U2-019,general,The proper hand position on the steering wheel is:,10 and 2 o'clock for maximum control,One hand at 12 o'clock,9 and 3 o'clock for safety with airbags,Both hands at the bottom,C,2,The 9 and 3 o'clock position provides good control and reduces injury risk from airbag deployment in a collision.
Universal,ALL,U2-020,general,"When approaching a curve, you should:",Speed up to maintain momentum through it,Slow down before entering the curve,Brake while in the middle of the curve,Stay toward the outside of your lane,B,1,"Reduce speed before entering a curve, not during. Enter at a safe speed and accelerate gently as you exit the curve."
Universal,ALL,U2-021,general,"If your vehicle starts to skid on a wet road, you should:",Brake hard to stop quickly,Steer in the opposite direction,Ease off the gas and steer where you want to go,Accelerate to power through,C,2,"When skidding, ease off the gas, don't brake suddenly, and gently steer in the direction you want to go until you regain control."
Universal,ALL,U2-022,general,What should you do if your tire blows out while driving?,Brake hard immediately,"Grip wheel firmly, ease off gas, slow gradually",Turn sharply to pull off the road,Accelerate to maintain control,B,1,"During a blowout, grip the steering wheel firmly, ease off the accelerator, and let the vehicle slow naturally before gently steering to safety."
Universal,ALL,U2-023,general,"If your brakes fail, you should first:",Turn off the ignition immediately,Open the door and drag your foot,Pump the brakes rapidly to build pressure,Steer into oncoming traffic to stop,C,2,"If brakes fail, pump the brake pedal rapidly to build pressure. Also use the parking brake gradually and downshift to slow down."
Universal,ALL,U2-024,general,If your accelerator sticks while driving:,Turn off the ignition immediately,Pump the gas pedal repeatedly,Open the door to slow down,Shift to neutral and brake to a safe stop,D,3,"If the accelerator sticks, shift to neutral to disconnect engine power, apply brakes, and steer to a safe location."
Universal,ALL,U2-025,general,Hydroplaning occurs when:,Your brakes get wet and squeak,Tires lose contact with road due to water,You drive through a deep puddle,Your windshield fogs up in rain,B,1,Hydroplaning occurs when water causes your tires to lose contact with the road surface. Reduce speed in wet conditions to prevent it.
Universal,ALL,U2-026,general,"If your vehicle begins to hydroplane, you should:",Brake firmly to slow down quickly,Turn the wheel sharply,Ease off the gas and steer straight,Accelerate to push through the water,C,2,"During hydroplaning, ease off the accelerator and keep the steering wheel straight. Avoid braking until tires regain contact with the road."
Universal,ALL,U2-027,general,"When driving on wet roads, stopping distance:",Remains the same as dry roads,Decreases slightly,Can double or more,Only increases on highways,C,2,Wet roads can double or even quadruple stopping distance due to reduced tire traction. Increase following distance and reduce speed.
Universal,ALL,U2-028,general,"When driving in fog, you should use:",High beam headlights,Parking lights only,Emergency flashers,Low beam headlights,D,3,Use low beam headlights in fog. High beams reflect off fog particles and reduce visibility rather than improving it.
Universal,ALL,U2-029,general,What is 'overdriving your headlights'?,Using high beams in the city,Driving faster than you can stop within visible distance,Leaving headlights on during the day,Using aftermarket headlight bulbs,B,1,Overdriving your headlights means driving so fast you can't stop within the distance illuminated by your headlights. Slow down at night.
Universal,ALL,U2-030,general,"When meeting an oncoming vehicle at night, you should:",Stare at their headlights to track position,Flash your high beams repeatedly,Look toward the right edge of your lane,Close one eye to preserve vision,C,2,"To avoid glare from oncoming headlights, look toward the right edge of your lane and use the road edge line as a guide."
Universal,ALL,U2-031,general,When should you use your horn?,To greet friends you see on the road,To warn others of potential danger,To express frustration at slow drivers,Before passing any vehicle,B,1,"Use your horn primarily as a safety warning device to alert others of potential danger, not as a means of expressing frustration."
Universal,ALL,U2-032,general,"When parking on a downhill grade with a curb, turn your wheels:",Away from the curb,Straight ahead,Toward the curb,In either direction,C,2,"When parking downhill with a curb, turn wheels toward the curb. If brakes fail, the vehicle rolls into the curb, not traffic."
Universal,ALL,U2-033,general,"When parking uphill with a curb, turn your wheels:",Away from the curb,Toward the curb,Straight ahead,Sharply to the left,A,0,"When parking uphill with a curb, turn wheels away from the curb. If brakes fail, the vehicle rolls back into the curb."
Universal,ALL,U2-034,general,"When parking on a hill with no curb, always turn your wheels:",Straight ahead for quick exit,Toward the left side of the road,Toward the center of the road,Toward the right edge of the road,D,3,"With no curb, turn wheels toward the right edge of the road whether uphill or downhill, so the vehicle rolls off the road, not into traffic."
Universal,ALL,U2-035,general,"Before backing up, you should:",Check mirrors only,Honk your horn twice,Walk around and check behind vehicle,Back up slowly and listen,C,2,"Before backing up, walk around your vehicle to check for obstacles, children, or pets that may not be visible from inside."
Universal,ALL,U2-036,general,"When parallel parking, your vehicle should be within how many inches of the curb?",6 inches,12 inches,18 inches,24 inches,B,1,"When parallel parked, your vehicle should be within 12 inches of the curb. Being too far out can impede traffic flow."
Universal,ALL,U2-037,general,The best way to make a lane change is to:,Move quickly once you see an opening,"Signal, check mirrors and blind spot, change smoothly",Change lanes while signaling,Follow another vehicle making the same change,B,1,"Safe lane changes involve signaling, checking mirrors, checking the blind spot, and then smoothly moving into the lane."
Universal,ALL,U2-038,general,"When making a right turn, you should:",Swing wide to the left first,Stay in the rightmost lane throughout,Move to the center lane first,Turn from any available lane,B,1,"When turning right, begin and end in the rightmost lane. Swinging wide can confuse other drivers and cause collisions."
Universal,ALL,U2-039,general,When making a left turn at an intersection:,Cut the corner to save time,Turn from the rightmost lane,Pass to the right of the intersection center,Go wide around the intersection,C,2,"When turning left, pass to the right of the center of the intersection to avoid cutting corners and conflicting with oncoming left-turners."
Universal,ALL,U2-040,general,"If you miss your exit on a highway, you should:",Stop and back up on the shoulder,Make a U-turn when traffic clears,Drive in reverse in the right lane,Continue to the next exit,D,3,"Never stop, back up, or make a U-turn on a highway. Continue to the next exit, even if it means a longer trip."
Universal,ALL,U2-041,general,When entering an interstate from an acceleration lane:,Stop at the end of the ramp,Enter at a slow speed for safety,Match the speed of highway traffic,Force your way into traffic,C,2,"Use the acceleration lane to match highway speed before merging. This allows for smooth, safe entry into traffic flow."
Universal,ALL,U2-042,general,"When exiting a highway, you should:",Slow down on the main roadway first,Enter the deceleration lane then slow down,Stop at the end of the exit ramp,Speed up to exit quickly,B,1,"Signal, move into the deceleration lane, then reduce speed. Slowing on the main roadway disrupts traffic flow."
Universal,ALL,U2-043,general,"On multilane highways, the left lane should be used primarily for:",Traveling at any speed you choose,All vehicles regardless of speed,Passing and faster-moving traffic,Trucks and buses only,C,2,The left lane is intended for passing and faster-moving traffic. Slower traffic should keep right to maintain traffic flow.
Universal,ALL,U2-044,general,"When driving behind a large truck, you should:",Follow closely to draft and save fuel,Pass on the right whenever possible,Flash your lights to make them move,Increase following distance significantly,D,3,Large trucks have extensive blind spots and longer stopping distances. Increase your following distance to stay visible and have time to react.
Universal,ALL,U2-045,general,"If a large truck is turning right, you should:",Pass on the right quickly,Follow closely to get through,Stay back and give them room,Honk to alert them you're there,C,2,Large trucks need extra room for wide turns. Stay back and never try to pass on the right when a truck is turning.
Universal,ALL,U2-046,general,"When passing a motorcycle, you should:",Pass closely so they see you,Allow a full lane width like any vehicle,Pass on the right side when possible,Honk before passing to alert them,B,1,Pass motorcycles with the same clearance as any vehicle—a full lane width. Motorcycles need space to maneuver around road hazards.
Universal,ALL,U2-047,general,"When following a motorcycle, you should:",Follow at normal car distance,Allow extra following distance,Stay directly behind them,Follow closely; they stop slowly,B,1,Motorcycles can stop more quickly than cars. Allow extra following distance to give yourself time to react.
Universal,ALL,U2-048,general,When sharing the road with bicyclists:,Honk to warn them you're passing,Pass closely to encourage them to move over,Allow at least 3 feet when passing,Expect them to ride on sidewalks,C,2,Give cyclists at least 3 feet of clearance when passing. Bicyclists have the right to use the road and may need space to avoid hazards.
Universal,ALL,U2-049,general,"When driving near parked vehicles, you should:",Speed up to pass them quickly,Watch for doors opening and pedestrians,Stay as close as possible to them,Assume no one is inside,B,1,"When passing parked vehicles, watch for doors opening, pedestrians stepping out, and vehicles pulling into traffic. Allow adequate space."
Universal,ALL,U2-050,general,A vehicle displaying a triangular orange emblem is:,An emergency vehicle,A slow-moving vehicle (25 mph or less),A wide-load transport,A vehicle with mechanical problems,B,1,"The orange triangular emblem indicates a slow-moving vehicle traveling 25 mph or less, such as farm equipment. Allow extra time to pass safely."
Universal,ALL,U3-001,general,At what point does alcohol begin to affect your driving ability?,After the first drink,Only after exceeding the legal limit,After two or three drinks,Only when you feel intoxicated,A,0,"Alcohol affects driving ability after the first drink, well before reaching the legal limit. Judgment and reaction time decline at low BAC levels."
Universal,ALL,U3-002,general,Alcohol affects driving by impairing:,Only your vision,"Judgment, coordination, and reaction time",Physical strength only,Hearing ability primarily,B,1,"Alcohol impairs multiple critical functions: judgment, coordination, reaction time, vision, and the ability to divide attention between tasks."
Universal,ALL,U3-003,general,Which factor determines how quickly alcohol affects someone?,Type of alcoholic beverage consumed,How much they've eaten recently,"Body weight, food intake, and drinking rate",Whether they're an experienced drinker,C,2,"Alcohol absorption is affected by body weight (smaller people affected more), food in stomach (slows absorption), and how quickly you drink."
Universal,ALL,U3-004,general,"Coffee, cold showers, or exercise will:",Help sober you up more quickly,Reduce your blood alcohol level,Make you safe to drive sooner,Not reduce alcohol impairment,D,3,"Only time reduces blood alcohol levels. Coffee, showers, and exercise may make you feel more alert but don't improve coordination or judgment."
Universal,ALL,U3-005,general,Which medications can impair your driving ability?,Both prescription and over-the-counter drugs,Only prescription medications,Only sleep aids and sedatives,Only medications with warning labels,A,0,"Many prescription and over-the-counter medications can impair driving, including antihistamines, cold medicines, and pain relievers. Always read labels."
Universal,ALL,U3-006,general,Combining alcohol with other drugs:,Has no additional effect,May reduce the effects of both,Can multiply impairment dangerously,Is safe if within legal limits,C,2,"Mixing alcohol with other drugs—prescription, over-the-counter, or illegal—can multiply impairment effects, making driving extremely dangerous."
Universal,ALL,U3-007,general,Drowsy driving is dangerous because it:,Only affects elderly drivers,Impairs reaction time and judgment like alcohol,Has no effect until you fall asleep,Can be overcome by opening windows,B,1,"Fatigue impairs driving similar to alcohol—slowing reaction time, impairing judgment, and reducing attention. The only cure is sleep."
Universal,ALL,U3-008,general,"If you become drowsy while driving, you should:",Turn up the radio and open windows,Drink coffee and continue driving,Pull over safely and rest or let someone else drive,Speed up to reach your destination faster,C,2,"If drowsy, the only safe option is to pull over and rest, take a short nap, or let someone else drive. Stimulants are only temporary fixes."
Universal,ALL,U3-009,general,What is 'highway hypnosis'?,Fear of driving on highways,"A drowsy, trance-like state from monotonous driving",Confusion at highway interchanges,Anxiety about merging traffic,B,1,"Highway hypnosis is a trance-like state caused by monotonous driving. Combat it with breaks, keeping the vehicle cool, and staying mentally engaged."
Universal,ALL,U3-010,general,Distracted driving includes:,Only using a cell phone,Any activity diverting attention from driving,Only activities involving your hands,Reading maps but not GPS,B,1,"Distracted driving includes any visual, manual, or cognitive activity that takes your attention from the road—phones, eating, adjusting controls, conversations."
Universal,ALL,U3-011,general,Which type of distraction does texting involve?,Visual only,Manual only,Cognitive only,"Visual, manual, and cognitive—all three",D,3,"Texting is especially dangerous because it involves all three distraction types: visual (looking at phone), manual (holding phone), and cognitive (composing messages)."
