Type,State,QuestionID,Category,Question,OptionA,OptionB,OptionC,OptionD,CorrectAnswer,CorrectIndex,Explanation
Universal,ALL,U-037,roadSigns,What does a keep right sign mean?,Pass on right only,Right turn only,Stay to right of divider,Right lane must exit,C,2,Keep right signs direct traffic to stay to the right side of a divider or obstruction.
Universal,ALL,U-038,roadSigns,What does a lane ends sign warn?,Exit only,Dead end,Road closed,Merge required,D,3,Lane ends signs warn that your lane will end and you must merge into adjacent traffic.
Universal,ALL,U-039,roadSigns,What does a railroad crossbuck (X sign) mean?,Yield to trains,Slow down,Stop always,Warning only,A,0,The crossbuck is a yield sign requiring you to give right-of-way to any approaching train.
Universal,ALL,U-040,roadSigns,What does a sign showing a winding road indicate?,Road narrows,Multiple curves ahead,Slippery surface,Speed zone,B,1,The winding road sign warns of a series of curves in alternating directions ahead.
Universal,ALL,U-041,roadSigns,What does a side road sign show?,Exit ahead,Rest area,Intersection from side,Service road,C,2,Side road signs warn of roads entering from the left or right ahead.
Universal,ALL,U-042,roadSigns,What does a stop ahead sign look like?,Red octagon,White rectangle,Red circle,Yellow diamond with STOP,D,3,Stop ahead warning signs are yellow diamonds indicating a stop sign is coming.
Universal,ALL,U-043,roadSigns,What does signal ahead sign warn?,Traffic light ahead,Speed camera,Flashing beacon,Railroad signal,A,0,Signal ahead signs warn you to prepare for a traffic signal.
Universal,ALL,U-044,roadSigns,What does a chevron sign indicate?,Speed limit change,Sharp curve direction,Lane change,Highway exit,B,1,Chevron signs mark sharp curves and show the direction the road turns.
Universal,ALL,U-045,roadSigns,What does a low clearance sign warn?,Road narrows,Weight restriction,Bridge height limit,Width limit,C,2,Low clearance signs warn of overhead structures with limited height for tall vehicles.
Universal,ALL,U-046,roadSigns,What does a weight limit sign restrict?,Speed,Lane width,Parking time,Bridge capacity,D,3,Weight limit signs show maximum vehicle weight allowed typically on bridges.
Universal,ALL,U-047,roadSigns,What does a detour sign indicate?,Alternate route required,Scenic route,Optional bypass,Rest area route,A,0,Detour signs direct traffic to follow a temporary alternate route.
Universal,ALL,U-048,roadSigns,What does END indicate on a road sign?,Road terminates,Restriction ends,Speed zone ends,Any of these,D,3,END on a sign indicates a previously posted regulation or zone is no longer in effect.
Universal,ALL,U-049,roadSigns,What does a bike lane sign indicate?,Bikes only in lane,No bikes allowed,Bikes may use,Bike parking,A,0,Bike lane signs mark lanes designated exclusively for bicycle use.
Universal,ALL,U-050,roadSigns,What does a no turn on red sign mean?,No right on red,No left on red,Depends on arrow shown,No turn either direction,C,2,No turn on red signs prohibit turns during red lights in the direction indicated or both.
Universal,ALL,U-051,rulesOfRoad,Who has right-of-way at a four-way stop?,First to arrive,Vehicle on right,Largest vehicle,Vehicle going straight,A,0,At a four-way stop the first vehicle to come to a complete stop proceeds first.
Universal,ALL,U-052,rulesOfRoad,If two vehicles arrive simultaneously at a four-way stop who goes first?,Vehicle on left,Vehicle on right,Vehicle going straight,Vehicle turning,B,1,When vehicles arrive at the same time the driver on the right has right-of-way.
Universal,ALL,U-053,rulesOfRoad,When must you yield to pedestrians?,At crosswalks only,Only at signals,Only if they have signal,Always when crossing,D,3,Drivers must yield to pedestrians crossing the road whether at crosswalks or not.
Universal,ALL,U-054,rulesOfRoad,What should you do when an emergency vehicle approaches with lights on?,Pull over and stop,Speed up to clear path,Continue at same speed,Stop in your lane,A,0,Pull to the right side of the road and stop until the emergency vehicle passes.
Universal,ALL,U-055,rulesOfRoad,When can you pass a school bus with flashing red lights?,When going opposite direction on divided highway,When bus driver waves,When no children visible,Never under any circumstances,A,0,On divided highways with a median you may proceed when traveling the opposite direction.
Universal,ALL,U-056,rulesOfRoad,What does a solid yellow center line mean?,No passing,Passing allowed,Two-way traffic,Lane ends,A,0,A solid yellow line on your side means passing is not permitted.
Universal,ALL,U-057,rulesOfRoad,When can you cross a double yellow line?,To turn into a driveway,To pass slow vehicles,To avoid debris,Never cross,A,0,You may cross double yellow lines to turn left into or from a driveway or private road.
Universal,ALL,U-058,rulesOfRoad,What does a broken white line between lanes mean?,No lane change,Lane change permitted,Carpool lane,Exit only,B,1,Broken white lines separate lanes going the same direction where lane changes are allowed.
Universal,ALL,U-059,rulesOfRoad,What does a solid white line between lanes mean?,Lane change prohibited,Lane change discouraged,Stop here,Yield,B,1,Solid white lines discourage lane changes and mark the edge of travel lanes.
Universal,ALL,U-060,rulesOfRoad,How far before a turn must you signal?,25 feet,50 feet,100 feet,200 feet,C,2,Signal at least 100 feet before turning to give other drivers adequate warning.
Universal,ALL,U-061,rulesOfRoad,When should you use headlights?,Only at night,When visibility is reduced,Sunset to sunrise,B and C,D,3,Headlights must be used from sunset to sunrise and whenever visibility is reduced.
Universal,ALL,U-062,rulesOfRoad,What is the proper following distance in ideal conditions?,1 second,2 seconds,3-4 seconds,5 seconds,C,2,Maintain at least 3-4 seconds following distance under normal driving conditions.
Universal,ALL,U-063,rulesOfRoad,When should you increase following distance?,In rain or fog,Behind motorcycles,Behind large trucks,All of these,D,3,Increase following distance in bad weather and when following motorcycles or large vehicles.
Universal,ALL,U-064,rulesOfRoad,What should you do at a yield sign?,Stop completely,Slow and yield right-of-way,Honk then proceed,Merge without slowing,B,1,Slow down and be prepared to stop yielding right-of-way to traffic already on the road.
Universal,ALL,U-065,rulesOfRoad,Who has right-of-way when entering a highway from a ramp?,Vehicles on highway,Vehicles on ramp,Whoever is faster,Larger vehicles,A,0,Traffic already on the highway has right-of-way over vehicles entering from ramps.
Universal,ALL,U-066,rulesOfRoad,When must you stop for a school bus?,When red lights flash,When yellow lights flash,When doors open,When children visible,A,0,You must stop when the bus displays flashing red lights and the stop arm is extended.
Universal,ALL,U-067,rulesOfRoad,What should you do at a green light if traffic is backed up?,Enter intersection wait,Wait until space clears,Honk for cars to move,Turn right instead,B,1,Never enter an intersection you cannot clear even if the light is green.
Universal,ALL,U-068,rulesOfRoad,When can you turn right on red?,Only with arrow,Never in cities,Unless sign prohibits,After stopping only,C,2,Right turns on red are allowed after stopping unless a sign prohibits them.
Universal,ALL,U-069,rulesOfRoad,When is passing on the right permitted?,On multi-lane roads,When vehicle turns left,On one-way streets,All of these,D,3,Passing on the right is permitted on multi-lane roads one-way streets or when a vehicle is turning left.
Universal,ALL,U-070,rulesOfRoad,What must you do when approaching a roundabout?,Stop completely,Yield to traffic in circle,Speed up to merge,Signal right,B,1,Yield to vehicles already in the roundabout before entering.
Universal,ALL,U-071,rulesOfRoad,Which lane should you use for a left turn on a multi-lane road?,Rightmost lane,Center lane,Leftmost lane,Any lane,C,2,Use the leftmost lane designated for your direction of travel when turning left.
Universal,ALL,U-072,rulesOfRoad,Where should you stop at an intersection with a stop sign and no stop line?,Before crosswalk,At crosswalk,After crosswalk,Where you can see,A,0,Stop before the crosswalk or where you can see approaching traffic if no crosswalk exists.
Universal,ALL,U-073,rulesOfRoad,What does a flashing yellow arrow mean?,Stop then turn,Turn with caution,No turn allowed,Protected turn,B,1,A flashing yellow arrow means you may turn but must yield to oncoming traffic and pedestrians.
Universal,ALL,U-074,rulesOfRoad,When should you use your horn?,To greet friends,To alert of danger,To express frustration,To speed up traffic,B,1,Use your horn only to avoid collisions or alert others to potential danger.
Universal,ALL,U-075,rulesOfRoad,What should you do if you miss your exit on a highway?,Back up carefully,Continue to next exit,Stop and reverse,Make a U-turn,B,1,Never back up on a highway - continue to the next exit and return safely.
Universal,ALL,U-076,rulesOfRoad,When can you drive in a bike lane?,To make a turn,To park briefly,To avoid traffic,Never enter bike lanes,A,0,You may enter a bike lane within 200 feet of making a turn.
Universal,ALL,U-077,rulesOfRoad,What should you do when parking uphill with a curb?,Turn wheels toward curb,Turn wheels from curb,Keep wheels straight,Set parking brake only,B,1,Turn front wheels away from curb so gravity pulls car into curb if brakes fail.
Universal,ALL,U-078,rulesOfRoad,What should you do when parking downhill?,Turn wheels toward curb,Turn wheels from curb,Keep wheels straight,Either direction works,A,0,Turn wheels toward the curb so the car rolls into the curb if brakes fail.
Universal,ALL,U-079,rulesOfRoad,How close can you park to a fire hydrant?,5 feet,10 feet,15 feet,20 feet,C,2,You must park at least 15 feet from a fire hydrant to ensure emergency access.
Universal,ALL,U-080,rulesOfRoad,How close can you park to a crosswalk?,10 feet,15 feet,20 feet,25 feet,C,2,Do not park within 20 feet of a crosswalk to maintain pedestrian visibility.
Universal,ALL,U-081,rulesOfRoad,What does a double solid yellow line mean?,Pass with care,No passing either direction,Pass if safe,One-way road,B,1,Double solid yellow lines prohibit passing from either direction.
Universal,ALL,U-082,rulesOfRoad,When can you make a U-turn?,At any intersection,Only on highways,Only in parking lots,When not prohibited by signs,D,3,U-turns are permitted unless prohibited by signs or where visibility is limited.
Universal,ALL,U-083,rulesOfRoad,What must you do after an accident with property damage?,Leave a note and go,Report to police within 24 hours,Wait for owner or leave info,Call insurance only,C,2,If you damage parked property you must try to find the owner or leave contact information.
Universal,ALL,U-084,rulesOfRoad,When can you drive in the left lane on a multi-lane highway?,Anytime,Only when passing,Only when turning left,A and B,D,3,The left lane should be used for passing and preparing for left turns.
Universal,ALL,U-085,rulesOfRoad,What should you do when being tailgated?,Brake suddenly,Speed up,Move over when safe,Ignore them,C,2,When being tailgated move to another lane when safe to let the other driver pass.
Universal,ALL,U-086,rulesOfRoad,When is it legal to drive on a sidewalk?,Never,To enter a driveway,In emergencies,With pedestrian permission,B,1,You may cross a sidewalk only when entering or exiting a driveway or alley.
Universal,ALL,U-087,rulesOfRoad,What must you do before backing up?,Check mirrors only,Check mirrors and turn to look,Honk horn,Flash brake lights,B,1,Before backing always check mirrors and turn your head to check blind spots.
Universal,ALL,U-088,rulesOfRoad,Who has right-of-way at an uncontrolled intersection?,Vehicle on left,Vehicle on right,Larger vehicle,Vehicle going straight,B,1,At uncontrolled intersections yield to the vehicle on your right.
Universal,ALL,U-089,rulesOfRoad,When must you dim your high beams?,Within 500 feet of oncoming traffic,Within 1000 feet,Only in cities,Only when asked,A,0,Dim high beams within 500 feet of oncoming vehicles and when following another vehicle.
Universal,ALL,U-090,rulesOfRoad,What should you do at a blinking red traffic signal?,Slow down proceed,Stop and treat as stop sign,Yield then proceed,Wait for green,B,1,A flashing red signal must be treated as a stop sign - stop completely then proceed when safe.
Universal,ALL,U-091,safeDriving,What is the most important factor in safe driving?,Vehicle speed,Driver attention,Weather conditions,Road surface,B,1,Driver attention and awareness are the most critical factors in preventing accidents.
Universal,ALL,U-092,safeDriving,What should you do if your brakes fail?,Turn off engine immediately,Jump from vehicle,Pump brakes use parking brake,Steer into traffic,C,2,Pump the brake pedal rapidly and gradually apply the parking brake while steering safely.
Universal,ALL,U-093,safeDriving,What should you do if you start to hydroplane?,Brake firmly,Steer sharply,Accelerate,Ease off gas steer straight,D,3,Take your foot off the gas and steer straight until your tires regain traction.
Universal,ALL,U-094,safeDriving,What causes most skids?,Driver error in braking or steering,Mechanical failure,Road conditions,Tire problems,A,0,Most skids are caused by drivers braking too hard or steering too sharply.
Universal,ALL,U-095,safeDriving,How do you recover from a rear-wheel skid?,Steer opposite to skid,Steer direction car is sliding,Brake immediately,Accelerate,B,1,Turn the steering wheel in the direction the rear of the car is sliding.
Universal,ALL,U-096,safeDriving,What should you do if a tire blows out?,Brake hard,Turn sharply,Grip wheel firmly ease off gas,Speed up,C,2,Hold the steering wheel firmly take your foot off the gas and brake gently after slowing.
Universal,ALL,U-097,safeDriving,What is the proper way to enter a curve?,Brake while in curve,Maintain constant speed,Speed up before curve,Slow before curve accelerate through,D,3,Reduce speed before entering a curve then accelerate gently through it.
Universal,ALL,U-098,safeDriving,When should you increase following distance?,In rain,When tired,Behind trucks,All of these,D,3,Increase following distance in adverse conditions when fatigued or behind large vehicles.
Universal,ALL,U-099,safeDriving,What is the leading cause of traffic fatalities?,Distracted driving,Speeding,Weather,Vehicle defects,A,0,Distracted driving including phone use is the leading cause of traffic accidents and fatalities.
Universal,ALL,U-100,safeDriving,How does fatigue affect driving?,Slows reaction time,Impairs judgment,Reduces awareness,All of these,D,3,Fatigue impairs all aspects of driving including reaction time judgment and awareness.
Universal,ALL,U-101,safeDriving,What should you do if you feel drowsy while driving?,Open window,Pull over and rest,Turn up radio,Drink coffee,B,1,The only safe response to drowsiness is to pull over and rest or sleep.
Universal,ALL,U-102,safeDriving,What is a blind spot?,Area not visible in mirrors,Covered windshield area,Tinted window section,Dark road area,A,0,Blind spots are areas around your vehicle not visible in mirrors requiring head checks.
Universal,ALL,U-103,safeDriving,How should you check blind spots?,Use mirrors only,Turn your head,Ask passengers,Adjust mirrors,B,1,Turn your head and look over your shoulder to check blind spots before changing lanes.
Universal,ALL,U-104,safeDriving,What increases stopping distance?,Wet roads,Higher speed,Worn tires,All of these,D,3,Stopping distance increases with speed poor road conditions and worn tires.
Universal,ALL,U-105,safeDriving,At highway speeds how far does your vehicle travel per second?,44 feet at 30 mph,73 feet at 50 mph,88 feet at 60 mph,Varies with conditions,C,2,At 60 mph your vehicle travels approximately 88 feet every second.
Universal,ALL,U-106,safeDriving,What is tailgating?,Following too closely,Using truck tailgate,Parking behind vehicles,Highway merging,A,0,Tailgating means following another vehicle more closely than is safe.
Universal,ALL,U-107,safeDriving,Why is tailgating dangerous?,Reduces reaction time,Blocks your view,Annoys other drivers,A and B,D,3,Tailgating reduces reaction time and limits your view of the road ahead.
Universal,ALL,U-108,safeDriving,What should you do if another vehicle passes you?,Speed up,Maintain speed,Slow down slightly,Flash lights,C,2,Slow down slightly to make it easier for the passing vehicle to return to the lane.
Universal,ALL,U-109,safeDriving,When should you not pass another vehicle?,On hills,Near curves,Near intersections,All of these,D,3,Never pass when your view is limited by hills curves or near intersections.
Universal,ALL,U-110,safeDriving,What should you do before changing lanes?,Check mirrors only,Signal then check mirrors and blind spots,Just signal,Check blind spots only,B,1,Signal your intention check mirrors and physically check blind spots before changing lanes.
Universal,ALL,U-111,safeDriving,How do wet roads affect braking?,Double stopping distance,Triple stopping distance,No effect,Slight increase,A,0,Wet roads can double your stopping distance compared to dry roads.
Universal,ALL,U-112,safeDriving,What should you do when driving in fog?,Use high beams,Use parking lights only,Use low beams,Turn lights off,C,2,Use low beam headlights in fog as high beams reflect off the moisture reducing visibility.
Universal,ALL,U-113,safeDriving,What should you do if your headlights fail at night?,Stop immediately where you are,Pull off road safely,Continue slowly,Use parking lights only,B,1,Turn on emergency flashers and carefully pull completely off the road.
Universal,ALL,U-114,safeDriving,What is the safest position for hands on the steering wheel?,10 and 2,9 and 3,8 and 4,12 o'clock,B,1,The 9 and 3 position provides best control and reduces injury risk from airbag deployment.
Universal,ALL,U-115,safeDriving,Why should you avoid driving with one hand?,Less control,Illegal,Looks unprofessional,Wastes fuel,A,0,Using one hand reduces your ability to steer quickly and maintain vehicle control.
Universal,ALL,U-116,safeDriving,When should you use cruise control?,On highways in good conditions,In traffic,In rain,On curves,A,0,Use cruise control only on open highways in good conditions not in traffic or bad weather.
Universal,ALL,U-117,safeDriving,What is the best way to avoid aggressive drivers?,Engage with them,Avoid eye contact give space,Brake check them,Follow closely,B,1,Stay calm avoid eye contact and give aggressive drivers plenty of space.
Universal,ALL,U-118,safeDriving,What should you do if road debris is in your lane?,Swerve quickly,Speed up over it,Brake steadily if safe,Close your eyes,C,2,If you cannot avoid debris safely brake steadily - do not swerve suddenly into traffic.
Universal,ALL,U-119,safeDriving,What is scanning the road?,Looking straight ahead,Checking mirrors regularly,Asking passengers to watch,Moving eyes to check all areas,D,3,Scanning means continuously moving your eyes to check all areas around your vehicle.
Universal,ALL,U-120,safeDriving,How far ahead should you look when driving?,50 feet,100 feet,10-15 seconds ahead,2 seconds ahead,C,2,Look 10-15 seconds down the road to spot hazards early and react appropriately.
Universal,ALL,U-121,safeDriving,What is the safest lane position?,Left side,Center of lane,Right side,Varies with situation,D,3,The safest lane position varies depending on traffic conditions hazards and turns ahead.
Universal,ALL,U-122,safeDriving,What should you do before entering a vehicle?,Check around vehicle,Adjust all mirrors,Fasten seat belt,All of these,D,3,Walk around to check for obstructions then adjust mirrors and fasten your seat belt.
Universal,ALL,U-123,safeDriving,When is it unsafe to use cruise control?,On highways,In rain or ice,On long trips,During daytime,B,1,Do not use cruise control on wet or icy roads as you need precise speed control.
Universal,ALL,U-124,safeDriving,What should you do if your accelerator sticks?,Push harder,Shift to neutral and brake,Turn off engine immediately,Jump out,B,1,Shift to neutral to disconnect the engine then brake and pull safely off the road.
Universal,ALL,U-125,safeDriving,What is the purpose of ABS brakes?,Prevent wheel lockup,Make car go faster,Reduce tire wear,Increase fuel economy,A,0,ABS prevents wheels from locking during hard braking allowing you to maintain steering control.
Universal,ALL,U-126,specialSituations,How should you brake with ABS?,Pump the brakes,Apply steady firm pressure,Brake gently only,Tap brakes repeatedly,B,1,With ABS apply steady firm pressure and let the system prevent wheel lockup.
Universal,ALL,U-127,specialSituations,What should you do when approaching a funeral procession?,Pass when clear,Cut through procession,Maintain normal driving,Pull over and wait,D,3,Pull over or wait for the procession to pass as a sign of respect and for safety.
Universal,ALL,U-128,specialSituations,What is the move over law?,Change lanes regularly,Yield at intersections,Move over for stopped emergency vehicles,Move over for turning vehicles,C,2,Move over or slow down significantly when passing stopped emergency vehicles with lights flashing.
Universal,ALL,U-129,specialSituations,What should you do if an animal is in the road?,Brake if safe to stop,Swerve to avoid,Speed up past it,Honk continuously,A,0,Brake firmly if you can stop safely - swerving at speed is more dangerous than braking.
Universal,ALL,U-130,specialSituations,What should you do if your vehicle catches fire?,Keep driving,Open hood to check,Pull over turn off engine exit,Pour water on engine,C,2,Pull over safely turn off the engine and move away from the vehicle immediately.
Universal,ALL,U-131,specialSituations,What should you do in a traffic emergency?,Remain calm,Grip steering wheel firmly,Look for escape route,All of these,D,3,Stay calm maintain control and scan for the safest path to avoid the hazard.
Universal,ALL,U-132,specialSituations,What should you do when driving near large trucks?,Allow extra space,Pass quickly,Stay in blind spots,Follow closely,A,0,Allow extra space around trucks as they have larger blind spots and need more stopping distance.
Universal,ALL,U-133,specialSituations,Where are a truck's blind spots?,Front only,Rear only,All four sides,Left side only,C,2,Large trucks have significant blind spots on all four sides called No Zones.
Universal,ALL,U-134,specialSituations,What should you do when sharing the road with motorcycles?,Follow closely,Pass in same lane,Flash lights at them,Allow full lane width,D,3,Give motorcycles a full lane width and extra following distance.
Universal,ALL,U-135,specialSituations,Why are motorcycles harder to see?,They're not harder,Faster movement,Dark colors only,Smaller profile,D,3,Motorcycles have a smaller profile making them harder to spot in traffic and mirrors.
Universal,ALL,U-136,specialSituations,What should you do when approaching a horse-drawn vehicle?,Pass quickly,Slow down pass carefully,Honk to alert,Flash high beams,B,1,Slow down and pass carefully as horses can be spooked by vehicles.
Universal,ALL,U-137,specialSituations,What should you do if you encounter flooding?,Drive through quickly,Drive on road edge,Follow other cars,Turn around don't drown,D,3,Never drive through flooded roads - turn around and find an alternate route.
Universal,ALL,U-138,specialSituations,How deep can water be before your vehicle loses control?,6 inches,12 inches,24 inches,36 inches,A,0,Just 6 inches of moving water can knock you down and 12 inches can carry away a vehicle.
Universal,ALL,U-139,specialSituations,What should you do if caught in a dust storm?,Speed through it,Use high beams,Pull off road completely stop,Open windows,C,2,Pull completely off the road turn off lights and wait for the storm to pass.
Universal,ALL,U-140,specialSituations,What should you do when driving near pedestrians who are blind?,Honk to alert them,Yield and be patient,Flash lights,Speed up past them,B,1,Be patient and yield - white canes or guide dogs indicate vision impairment.
Universal,ALL,U-141,specialSituations,What should you do if you witness an accident?,Always stop,Continue unless involved,Call others to stop,Stop if safe to assist,D,3,Stop if you can do so safely to call for help or assist without putting yourself at risk.
Universal,ALL,U-142,specialSituations,When should you pull over for an emergency vehicle?,Only if in same lane,Only on highways,Always when approaching,Only if signaled,C,2,Pull to the right and stop for any emergency vehicle with lights and sirens regardless of direction.
Universal,ALL,U-143,specialSituations,What creates black ice?,Cold rain,Snow melting,Temperature drop on wet roads,All of these,D,3,Black ice forms when moisture freezes on road surfaces often invisible until you're on it.
Universal,ALL,U-144,specialSituations,What should you do when driving on ice?,Use cruise control,Brake gently accelerate slowly,Drive normal speed,Use highest gear,B,1,Drive slowly brake gently and accelerate gradually to maintain traction on ice.
Universal,ALL,U-145,specialSituations,What should you do if your car is stranded in snow?,Walk for help immediately,Stay with vehicle,Run the engine continuously,Leave doors open,B,1,Stay with your vehicle as it provides shelter and makes you easier to find.
Universal,ALL,U-146,alcoholDUI,What does BAC stand for?,Blood Alcohol Concentration,Breath Alcohol Content,Body Alcohol Count,Basic Alcohol Check,A,0,BAC stands for Blood Alcohol Concentration measuring the percentage of alcohol in blood.
Universal,ALL,U-147,alcoholDUI,What is the legal BAC limit for drivers 21 and over?,0.05%,0.08%,0.10%,0.02%,B,1,The legal BAC limit for adult drivers in all states is 0.08%.
Universal,ALL,U-148,alcoholDUI,What is the BAC limit for drivers under 21?,0.08%,0.05%,0.02% or lower,0.00%,C,2,Most states have zero tolerance laws setting the limit at 0.02% or lower for underage drivers.
Universal,ALL,U-149,alcoholDUI,What does implied consent mean?,Right to refuse tests,Agreeing to testing by driving,Automatic guilty plea,Consent to search,B,1,By driving you automatically consent to chemical testing if lawfully arrested for DUI.
