questionId,category,state,question,optionA,optionB,optionC,optionD,correctAnswer
TX-037,stateUnique,TX,"What should Texas drivers know about toll roads?","Texas does not operate any toll roads on state highways","Extensive toll system with TxTag and pay by mail options","Toll roads in Texas accept only cash payment at all locations","Toll roads are free for Texas residents with valid plates",B
UT-014,cellPhone,UT,"What is Utah cell phone law for all drivers?","No restrictions on cell phone use exist for adult drivers","Handheld phone manipulation is banned for all drivers","Only texting is banned while making calls remains legal","Cell phone restrictions only apply in designated school zones",B
VA-006,gdlLicensing,VA,"How many passengers can a Virginia provisional driver carry in first year?","No passenger limits apply once the provisional license is issued","1 passenger under 21 for first year unless family members","A maximum of 2 passengers of any age may ride during first year","Only immediate family members may ride for the entire first year",B
HI-040,stateUnique,HI,"What should you be aware of when driving on narrow Hawaii roads?","Nothing special distinguishes narrow Hawaii roads from other roads","One-lane bridges requiring yielding and courtesy are common","Higher speed limits apply on narrow roads due to less traffic","No stopping is allowed on any narrow roads throughout the state",B
KS-013,cellPhone,KS,"What is Kansas cell phone law for drivers under 18?","Hands-free devices are required for all drivers under age 18","No wireless device use is permitted except for emergencies","Same rules as adult drivers apply to those under age 18","Only texting is banned while calls remain legal for teen drivers",B
KY-016,cellPhone,KY,"What is the fine for texting while driving in Kentucky?","Violations result in a flat 25 dollar fine for all offenses","25 dollars for first offense and 50 dollars for subsequent","Violations result in a flat 100 dollar fine for all offenses","First offense results in a written warning with no fine",B
ME-018,cellPhone,ME,"What are the penalties for repeated cell phone violations in Maine?","The same fine amount applies for each violation regardless","Increasing fines and possible license suspension for repeats","A written warning then fine structure applies in Maine","Points are added to record but no increased fines apply",B
MO-011,gdlLicensing,MO,"What happens if a Missouri intermediate driver accumulates points?","A written warning is issued with no impact on the license","License suspension or extension of restrictions may result","Points accumulated by teen drivers clear automatically at 18","A fine is assessed but the intermediate license remains unchanged",B
NE-030,insurance,NE,"What happens if you drive without insurance in Nebraska?","First offense results in a written warning with no consequences","Fines and license and registration suspension may apply","Points are added to your record but no suspension occurs","A small fine is typical for first-time offenders only",B
NY-018,cellPhone,NY,"What is unique about New York junior driver cell phone penalties?","Same penalties as adult drivers apply to junior drivers","Any phone use can result in license suspension or revocation","Higher fines apply to junior drivers than adult drivers","No additional penalties apply to junior driver phone violations",B
NY-026,duiStateLaws,NY,"What is Leandra's Law in New York?","Leandra's Law is a school zone speed enforcement law","Felony charge for DWI with child under 16 in the vehicle","Leandra's Law is a teen driving restriction law in New York","Leandra's Law is a cell phone driving restriction law",B
NC-030,insurance,NC,"What happens if you drive without insurance in North Carolina?","First offense results in a written warning with no consequences","License plate and registration revocation may be imposed","Points are added to your record but no suspension occurs","A small fine is typical for first-time offenders only",B
ND-026,duiStateLaws,ND,"What is required for North Dakota DUI offenders?","Nothing special is required beyond payment of fines","24/7 Sobriety Program participation may be required","Only community service is required for DUI offenders","Only fines are required with no additional program requirements",B
OH-009,gdlLicensing,OH,"Is driver education required in Ohio?","No driver education is completely optional in Ohio","Yes 24 hours classroom and 8 hours behind-wheel required","Only the classroom portion of driver education is required","Driver education is only required for those under age 17",B
PA-013,cellPhone,PA,"What is Pennsylvania cell phone law for drivers under 18?","Hands-free devices are required for all drivers under age 18","No interactive wireless device use permitted while driving","Same rules as adult drivers apply to those under age 18","Only texting is banned while calls remain legal for teens",B
RI-009,gdlLicensing,RI,"Is driver education required in Rhode Island?","No driver education is completely optional in Rhode Island","Yes 33 hours classroom and 6 hours behind-wheel required","Only the classroom portion of driver education is required","Driver education is only required for those under age 17",B
SC-018,cellPhone,SC,"Are there local South Carolina areas with stricter phone laws?","No the state law is uniform throughout South Carolina","Yes some municipalities have enacted additional restrictions","Only the city of Charleston has stricter phone laws","Only the city of Columbia has stricter phone laws",B
TN-016,cellPhone,TN,"What are the penalties for cell phone violations in Tennessee?","Violations result in a flat 25 dollar fine for all offenses","50 dollars for first offense increasing for subsequent ones","Violations result in a flat 100 dollar fine for all offenses","First offense results in a written warning with no fine",B
TX-034,stateUnique,TX,"What should Texas drivers know about weather?","Texas has a mild climate with minimal severe weather concerns","Flash flooding and severe storms can develop very quickly","Only coastal hurricanes are a weather concern in Texas","Severe weather events are rare and provide advance warning",B
VT-037,stateUnique,VT,"What should Vermont drivers know about covered bridges?","Covered bridges do not exist in Vermont any longer","Single lane bridges require yielding to oncoming traffic","Covered bridges follow the same rules as regular bridges","Always come to a complete stop before entering any bridge",B
WI-034,stateUnique,WI,"What should Wisconsin drivers know about winter driving?","Winters in Wisconsin are mild with limited snowfall most years","Severe winters with snow ice and lake effect are common","Significant snowfall is rare and roads are cleared quickly","Tire chains are required by law during winter months",B
AZ-024,duiStateLaws,AZ,"What happens if you refuse a chemical test when arrested for DUI in Arizona?","No penalty results from refusing a chemical test in Arizona","One year license suspension for first refusal of testing","Only a small fine is assessed for refusing a chemical test","The case is dismissed if you refuse to take a chemical test",B
HI-009,gdlLicensing,HI,"What happens if a Hawaii provisional driver violates curfew or passenger restrictions?","A written warning is issued with no impact on the license","Extension of provisional period or license suspension","A small fine is assessed with no impact on the license","Points are added to license but no extension of restrictions",B
MA-018,cellPhone,MA,"Can Massachusetts drivers use phones at red lights?","Yes phone use is permitted when the vehicle is completely stopped","No the vehicle must be parked and completely out of traffic","Phone use is only permitted for emergency calls when stopped","Only hands-free phone use is permitted when stopped at lights",B
MI-005,gdlLicensing,MI,"What are the nighttime restrictions for Michigan Level 2 license holders?","Driving is prohibited from 10pm to 5am for the entire period","10pm to 5am for first year then midnight to 5am after that","Driving is prohibited from midnight to 5am for entire period","Driving is prohibited from 11pm to 6am for entire period",B
MS-007,gdlLicensing,MS,"How many passengers can a Mississippi intermediate driver carry in the first 6 months?","No passenger limits apply once the intermediate license is issued","No more than 1 passenger under 21 unless family members","A maximum of 2 passengers of any age may ride during period","Only immediate family members may ride for the entire period",B
MO-014,cellPhone,MO,"What is Missouri cell phone law for drivers 22 and older?","No restrictions on phone use exist for drivers 22 and older","No statewide ban exists but local ordinances may apply","Hands-free devices are required for all drivers 22 and older","Only texting is banned for drivers 22 and older statewide",B
NV-016,cellPhone,NV,"What are the penalties for cell phone violations in Nevada?","Violations result in a flat 25 dollar fine for all offenses","50 dollars for first offense and up to 250 for subsequent","Violations result in a flat 100 dollar fine for all offenses","First offense results in a written warning with no fine",B
NH-006,gdlLicensing,NH,"How many passengers can a New Hampshire youth operator carry in first 6 months?","No passenger limits apply once the youth operator license is issued","No more than 1 passenger under 25 unless they are family","A maximum of 2 passengers of any age may ride during period","Only immediate family members may ride for the entire period",B
ND-005,gdlLicensing,ND,"What are the restrictions for North Dakota restricted license holders?","A 10pm to 5am curfew applies throughout the restricted period","No driving between 9pm and 5am for the first 6 months","A midnight to 5am curfew applies throughout restricted period","No nighttime driving restrictions apply to restricted holders",B
PA-034,stateUnique,PA,"What should Pennsylvania drivers know about the Turnpike?","Pennsylvania does not operate any toll roads on state highways","Major toll road with E-ZPass and toll by plate options","Toll roads are free for Pennsylvania residents with plates","Toll roads in Pennsylvania accept only cash at all locations",B
SC-037,stateUnique,SC,"What should South Carolina drivers know about deer?","Deer are not a significant driving concern in South Carolina","Deer collisions are common especially during fall months","Deer crossings are limited to upstate regions and parks","Marked wildlife crossing zones alert drivers to deer areas",B
SC-038,stateUnique,SC,"What should South Carolina coastal drivers know?","No special driving concerns exist for coastal South Carolina","Watch for flooding during high tides and storm conditions","Coastal roads in South Carolina are always dry and clear","Coastal flooding does not occur in South Carolina",B
TN-018,cellPhone,TN,"What makes Tennessee cell phone law notable?","Tennessee cell phone law is the same as most other states","Statewide hands-free requirement was enacted in 2024","Tennessee has no statewide cell phone law for drivers","Tennessee has the strictest cell phone law in the nation",B
VA-028,insurance,VA,"Does Virginia require liability insurance?","Yes Virginia requires liability insurance like all other states","No but you must pay a 500 dollar uninsured motor vehicle fee","Liability insurance is only required for newly purchased vehicles","Liability insurance is only required for vehicles with financing",B
AK-037,stateUnique,AK,"What special driving challenges should you prepare for in Alaska?","Heavy traffic is the only significant driving challenge in Alaska","Extreme weather ice wildlife and remote roads require preparation","Construction zones are the main driving challenge in Alaska","Night driving is the only significant challenge in Alaska",B
CO-033,stateUnique,CO,"What is unique about Colorado's approach to alcohol impairment while driving?","Colorado has only one level of impaired driving charge","Both DUI and DWAI charges exist at different BAC levels","Colorado has no specific DUI laws for impaired driving","Colorado uses voluntary testing only for impairment checks",B
ME-006,gdlLicensing,ME,"How many passengers can a Maine intermediate driver carry in the first 3 months?","No passenger limits apply once the intermediate license is issued","No passengers except family members or those 20 or older","A maximum of 1 passenger of any age may ride during period","Only immediate family members may ride for the entire period",B
MA-012,gdlLicensing,MA,"What is a Massachusetts junior operator license?","A junior operator license is the same as a regular license","Restricted license for drivers 16 and a half to 18 years old","A junior operator license is a learner permit only","A junior operator license is a commercial license category",B
MI-017,cellPhone,MI,"What are the penalties for distracted driving in Michigan?","Violations result in a flat 25 dollar fine for all offenses","100 dollars for first offense and 250 for subsequent ones","Violations result in a flat 50 dollar fine for all offenses","First offense results in a written warning with no fine",B
MI-035,stateUnique,MI,"What is Michigan law regarding school buses?","Drivers must stop only when traveling on the same side as bus","Stop in both directions unless the roadway is physically divided","Drivers should slow to 20 mph but stopping is not required","Stop only when the bus driver activates hand signals at you",B
MN-011,gdlLicensing,MN,"What happens if a Minnesota provisional driver commits a traffic offense?","A written warning is issued with no impact on the license","Extended provisional period by 6 months may be imposed","Points are added to the record but no extension occurs","A fine is assessed but the provisional period remains unchanged",B
MT-026,duiStateLaws,MT,"What is required for Montana DUI offenders?","Nothing special is required beyond payment of fines","Alcohol information course and possible treatment required","Only community service is required for DUI offenders","Only fines are required with no additional requirements",B
MT-036,stateUnique,MT,"What is Montana law regarding school buses?","Drivers must stop only when traveling on the same side as bus","Stop in both directions unless on a divided highway","Drivers should slow to 20 mph but stopping is not required","Stop only when the bus driver activates hand signals at you",B
NH-030,insurance,NH,"Is insurance recommended even though not required in New Hampshire?","Insurance is not necessary in New Hampshire for most drivers","Yes insurance is strongly recommended for financial protection","Insurance is only recommended for newly purchased vehicles","Insurance is only recommended for high-value vehicles",B
NH-035,stateUnique,NH,"What is New Hampshire law regarding school buses?","Drivers must stop only when traveling on the same side as bus","Stop in both directions unless divided by a physical barrier","Drivers should slow to 20 mph but stopping is not required","Stop only when the bus driver activates hand signals at you",B
NJ-006,gdlLicensing,NJ,"How many passengers can a New Jersey probationary driver carry?","No passenger limits apply once the probationary license is issued","1 passenger plus dependents unless accompanied by parent","A maximum of 2 passengers of any age may ride during period","Only immediate family members may ride for the entire period",B
NJ-011,gdlLicensing,NJ,"What happens if a New Jersey probationary driver violates restrictions?","A written warning is issued with no impact on the license","License postponement for each violation of restrictions","Points are added to the record but no postponement occurs","A fine is assessed but the license period remains unchanged",B
ND-035,stateUnique,ND,"What is North Dakota law regarding school buses?","Drivers must stop only when traveling on the same side as bus","Stop in both directions unless divided by a physical barrier","Drivers should slow to 20 mph but stopping is not required","Stop only when the bus driver activates hand signals at you",B
OH-035,stateUnique,OH,"What is Ohio law regarding school buses?","Drivers must stop only when traveling on the same side as bus","Stop in both directions unless on a divided highway","Drivers should slow to 25 mph but stopping is not required","Stop only when the bus driver activates hand signals at you",B
OK-035,stateUnique,OK,"What is Oklahoma law regarding school buses?","Drivers must stop only when traveling on the same side as bus","Stop in both directions unless divided by a physical barrier","Drivers should slow to 25 mph but stopping is not required","Stop only when the bus driver activates hand signals at you",B
PA-035,stateUnique,PA,"What is Pennsylvania law regarding school buses?","Drivers must stop only when traveling on the same side as bus","Stop in both directions unless divided by a physical barrier","Drivers should slow to 25 mph but stopping is not required","Stop only when the bus driver activates hand signals at you",B
PA-040,stateUnique,PA,"What is unique about Pennsylvania vehicle inspections?","No vehicle inspections are required in the state of Pennsylvania","Annual safety inspection is required for all registered vehicles","Only emissions testing is required with no safety inspection","Vehicle inspections are only required for newly purchased cars",B
RI-035,stateUnique,RI,"What is Rhode Island law regarding school buses?","Drivers must stop only when traveling on the same side as bus","Stop in both directions unless divided by a physical barrier","Drivers should slow to 25 mph but stopping is not required","Stop only when the bus driver activates hand signals at you",B
SD-035,stateUnique,SD,"What is South Dakota law regarding school buses?","Drivers must stop only when traveling on the same side as bus","Stop in both directions unless divided by a physical barrier","Drivers should slow to 25 mph but stopping is not required","Stop only when the bus driver activates hand signals at you",B
TN-038,stateUnique,TN,"What should Tennessee drivers watch for in rural areas?","Nothing special distinguishes rural Tennessee roads from others","Deer and other wildlife are common especially in fall months","Wildlife concerns are only present near designated park areas","Wildlife is only a concern during nighttime driving hours",B
TX-018,cellPhone,TX,"What is Texas law in school zones?","Same rules as everywhere else apply in Texas school zones","All handheld phone use is banned in active school zones","Only texting is banned in Texas school zones while calls ok","No special rules apply to phone use in Texas school zones",B
TX-035,stateUnique,TX,"What is Texas law regarding school buses?","Drivers must stop only when traveling on the same side as bus","Stop in both directions unless divided by a physical barrier","Drivers should slow to 25 mph but stopping is not required","Stop only when the bus driver activates hand signals at you",B
UT-035,stateUnique,UT,"What is Utah law regarding school buses?","Drivers must stop only when traveling on the same side as bus","Stop in both directions unless divided by a physical barrier","Drivers should slow to 25 mph but stopping is not required","Stop only when the bus driver activates hand signals at you",B
VT-035,stateUnique,VT,"What is Vermont law regarding school buses?","Drivers must stop only when traveling on the same side as bus","Stop in both directions unless divided by a physical barrier","Drivers should slow to 25 mph but stopping is not required","Stop only when the bus driver activates hand signals at you",B
VA-030,insurance,VA,"Is insurance recommended even if paying the Virginia fee?","Insurance is not necessary if you pay the uninsured fee","Yes insurance is strongly recommended for financial protection","Insurance is only recommended for newly purchased vehicles","Insurance is only recommended for high-value vehicles",B
WA-035,stateUnique,WA,"What is Washington law regarding school buses?","Drivers must stop only when traveling on the same side as bus","Stop in both directions unless divided by a physical barrier","Drivers should slow to 25 mph but stopping is not required","Stop only when the bus driver activates hand signals at you",B
WV-035,stateUnique,WV,"What is West Virginia law regarding school buses?","Drivers must stop only when traveling on the same side as bus","Stop in both directions unless divided by a physical barrier","Drivers should slow to 25 mph but stopping is not required","Stop only when the bus driver activates hand signals at you",B
WY-035,stateUnique,WY,"What is Wyoming law regarding school buses?","Drivers must stop only when traveling on the same side as bus","Stop in both directions unless divided by a physical barrier","Drivers should slow to 25 mph but stopping is not required","Stop only when the bus driver activates hand signals at you",B
FL-016,cellPhone,FL,"Where must you use hands-free devices in Florida?","Hands-free devices are required everywhere in Florida","Only in school zones and active work zones is hands-free required","Hands-free is only required on Florida interstate highways","Hands-free is only required in Florida cities and towns",B
IN-018,cellPhone,IN,"What happens to an Indiana driver under 18 who violates the cell phone ban?","A written warning is issued with no impact on the license","60-day license suspension for first offense of the ban","A fine is assessed but the license remains unaffected","Points are added to the license but no suspension occurs",B
KS-009,gdlLicensing,KS,"What happens if a Kansas teen driver accumulates violations?","A written warning is issued with no impact on the license","License revocation and extended restrictions may result","Points accumulated by teen drivers clear automatically at 18","A fine is assessed but the license remains unchanged",B
LA-016,cellPhone,LA,"Are there local Louisiana areas with stricter phone laws?","No the state law is uniform throughout all of Louisiana","Yes New Orleans and some other areas require hands-free","Stricter laws only apply on Louisiana interstate highways","Stricter laws only apply in designated school zones",B
ME-026,duiStateLaws,ME,"What is unique about Maine OUI penalties?","Maine uses standard OUI penalties similar to other states","All OUI offenders must complete an alcohol education program","Only repeat OUI offenders face additional requirements","Only fines are required with no additional program requirements",B
MD-028,insurance,MD,"What unique insurance option does Maryland offer?","Maryland has no unique insurance options to note","Maryland Auto Insurance Fund available for high-risk drivers","The state of Maryland provides auto insurance directly","Maryland offers a no-fault insurance option for drivers",B
MI-011,gdlLicensing,MI,"What happens if a Michigan Level 2 driver commits a moving violation?","A written warning is issued with no impact on the license","License suspension for 30 days or more may be imposed","Points are added to the record but no suspension occurs","A fine is assessed but the license period remains unchanged",B
MN-017,cellPhone,MN,"What are the penalties for Minnesota hands-free violations?","Violations result in a flat 25 dollar fine for all offenses","50 dollars for first offense and 275 for subsequent ones","Violations result in a flat 100 dollar fine for all offenses","First offense results in a written warning with no fine",B
MT-011,gdlLicensing,MT,"What happens if a Montana teen driver accumulates convictions?","A written warning is issued with no impact on the license","License suspension and extended restrictions may result","Points accumulated by teen drivers clear automatically at 18","A fine is assessed but the license remains unchanged",B
NY-035,stateUnique,NY,"What is New York law regarding school buses?","Drivers must stop only when traveling on the same side as bus","Stop in both directions even on divided highways in New York","Drivers should slow to 20 mph but stopping is not required","Stop only when the bus driver activates hand signals at you",B
NC-035,stateUnique,NC,"What is North Carolina law regarding school buses?","Drivers must stop only when traveling on the same side as bus","Stop in both directions unless divided by a raised median","Drivers should slow to 25 mph but stopping is not required","Stop only when the bus driver activates hand signals at you",B
OH-012,gdlLicensing,OH,"What must Ohio teens complete before road testing?","Nothing additional is required beyond the permit requirements","Driver education and temporary permit period must be completed","Only passing the written knowledge test is required","Only passing the vision screening test is required",B
OR-035,stateUnique,OR,"What is Oregon law regarding school buses?","Drivers must stop only when traveling on the same side as bus","Stop in both directions unless divided by a raised median","Drivers should slow to 25 mph but stopping is not required","Stop only when the bus driver activates hand signals at you",B
UT-010,gdlLicensing,UT,"What happens if a Utah provisional driver violates restrictions?","A written warning is issued with no impact on the license","License suspension for 1 month or more may be imposed","Points are added to the record but no suspension occurs","A fine is assessed but the license period remains unchanged",B
UT-034,stateUnique,UT,"What should Utah drivers know about winter driving?","Winters in Utah are mild with limited snowfall most years","Mountain passes may require tire chains or snow tires","Significant snowfall is rare and roads are cleared quickly","Tire chains are always required on all roads during winter",B
VT-026,duiStateLaws,VT,"What is required for Vermont DUI offenders?","Nothing special is required beyond payment of fines","Ignition interlock device and alcohol assessment required","Only community service is required for DUI offenders","Only fines are required with no additional requirements",B
WA-017,cellPhone,WA,"Can Washington drivers use phones at red lights?","Yes phone use is permitted when the vehicle is completely stopped","No cannot hold or use device even when stopped at lights","Phone use is only permitted for emergency calls when stopped","Phone use is only permitted for GPS navigation when stopped",B
WA-040,stateUnique,WA,"What should Washington drivers know about the left lane?","The left lane is open to all traffic at all times","Keep right except to pass on multilane highways in Washington","The left lane is only for commercial trucks in Washington","The left lane restriction only applies during rush hour",B
AR-014,cellPhone,AR,"What are the cell phone rules for drivers under 18 in Arkansas?","Same rules as adult drivers apply to those under age 18","No cell phone use at all is permitted even with hands-free","Hands-free devices are required for all drivers under 18","No restrictions on phone use exist for drivers under age 18",B
CA-034,stateUnique,CA,"How does California handle out-of-state traffic violations?","Out-of-state traffic violations are ignored by California","Points may be added to your California driving record","Only accidents from other states count on your record","Only DUI offenses from other states transfer to your record",B
CT-024,duiStateLaws,CT,"What is implied consent in Connecticut?","Implied consent means you can refuse all testing requests","By driving you consent to BAC testing if lawfully arrested","Implied consent means you agree to vehicle searches","Implied consent means you must carry liability insurance",B
CT-026,duiStateLaws,CT,"Can you be charged with OUI without a BAC test in Connecticut?","No a BAC test is required to charge someone with OUI","Yes based on officer observations and signs of impairment","Only if you refuse to take the BAC test can you be charged","Only if drugs are involved can you be charged without BAC",B
FL-023,duiStateLaws,FL,"What is implied consent in Florida?","Implied consent means you can refuse all testing requests","By driving you consent to BAC testing if lawfully arrested","Implied consent means you agree to vehicle searches","Implied consent means you must carry liability insurance",B
KY-011,gdlLicensing,KY,"Can Kentucky parents restrict their teen's license further?","No only state rules apply to teen driving restrictions","Yes through a written agreement filed with the court","Parents can only add curfew restrictions beyond state rules","Parents can only add restrictions for the first 30 days",B
KY-024,duiStateLaws,KY,"What is Kentucky implied consent law?","Implied consent refers to consenting to vehicle searches","Driving constitutes consent to chemical testing for impairment","Implied consent only applies to field sobriety tests","Implied consent applies only to blood tests not breath",B
